timestamp,visitorid,event,itemid,transactionid,date,year,month,day,dayofweek,hour
1435193216976,50734,view,4442,,2015-06-25 02:46:56.976,2015,6,25,3,2
1440996903983,355903,view,269631,,2015-08-31 06:55:03.983,2015,8,31,0,6
1431280237515,1066758,view,221329,,2015-05-10 19:50:37.515,2015,5,10,6,19
1439507864399,1049477,view,23683,,2015-08-14 01:17:44.399,2015,8,14,4,1
1437601159324,143239,view,6552,,2015-07-22 23:39:19.324,2015,7,22,2,23
1440868598798,762715,view,46130,,2015-08-29 19:16:38.798,2015,8,29,5,19
1436909226237,976898,view,82224,,2015-07-14 23:27:06.237,2015,7,14,1,23
1440779774908,269679,view,164327,,2015-08-28 18:36:14.908,2015,8,28,4,18
1431989552823,599789,view,386382,,2015-05-19 00:52:32.823,2015,5,19,1,0
1436682358636,270991,view,369195,,2015-07-12 08:25:58.636,2015,7,12,6,8
1442006916605,294236,view,243355,,2015-09-11 23:28:36.605,2015,9,11,4,23
1438374848875,40936,view,338817,,2015-07-31 22:34:08.875,2015,7,31,4,22
1436289794379,513155,view,118195,,2015-07-07 19:23:14.379,2015,7,7,1,19
1434379349046,856765,view,219859,,2015-06-15 16:42:29.046,2015,6,15,0,16
1439506973421,1000514,view,427472,,2015-08-14 01:02:53.421,2015,8,14,4,1
1430795166324,512477,view,313276,,2015-05-05 05:06:06.324,2015,5,5,1,5
1431824757427,19238,view,224237,,2015-05-17 03:05:57.427,2015,5,17,6,3
1442199463575,1351208,view,151283,,2015-09-14 04:57:43.575,2015,9,14,0,4
1441666184859,1159686,view,450082,,2015-09-08 00:49:44.859,2015,9,8,1,0
1439149188531,425945,view,64951,,2015-08-09 21:39:48.531,2015,8,9,6,21
1432179356085,1239092,view,211811,,2015-05-21 05:35:56.085,2015,5,21,3,5
1430718049441,976647,view,165302,,2015-05-04 07:40:49.441,2015,5,4,0,7
1436128438389,38360,view,349306,,2015-07-05 22:33:58.389,2015,7,5,6,22
1442114993691,1347127,view,376751,,2015-09-13 05:29:53.691,2015,9,13,6,5
1432749320876,57905,view,456056,,2015-05-27 19:55:20.876,2015,5,27,2,19
1432084607531,415761,view,319613,,2015-05-20 03:16:47.531,2015,5,20,2,3
1435966930108,304352,view,311585,,2015-07-04 01:42:10.108,2015,7,4,5,1
1436302991626,471651,view,228392,,2015-07-07 23:03:11.626,2015,7,7,1,23
1435770329909,622118,view,442236,,2015-07-01 19:05:29.909,2015,7,1,2,19
1437719116163,328843,view,264221,,2015-07-24 08:25:16.163,2015,7,24,4,8
1441342561874,658643,view,47524,,2015-09-04 06:56:01.874,2015,9,4,4,6
1438197492354,316573,view,402019,,2015-07-29 21:18:12.354,2015,7,29,2,21
1433201533133,765,view,287017,,2015-06-02 01:32:13.133,2015,6,2,1,1
1438960190631,468309,view,437177,,2015-08-07 17:09:50.631,2015,8,7,4,17
1434141084524,205659,view,31469,,2015-06-12 22:31:24.524,2015,6,12,4,22
1431024298533,385399,view,376113,,2015-05-07 20:44:58.533,2015,5,7,3,20
1440561946970,1370405,view,211360,,2015-08-26 06:05:46.970,2015,8,26,2,6
1441337863177,301542,view,374449,,2015-09-04 05:37:43.177,2015,9,4,4,5
1437962746389,1262733,view,310397,,2015-07-27 04:05:46.389,2015,7,27,0,4
1441319334975,1083494,view,365948,,2015-09-04 00:28:54.975,2015,9,4,4,0
1435799692350,255112,view,31514,,2015-07-02 03:14:52.350,2015,7,2,3,3
1439434540589,427521,view,70022,,2015-08-13 04:55:40.589,2015,8,13,3,4
1431916820553,13171,view,377960,,2015-05-18 04:40:20.553,2015,5,18,0,4
1440077263995,545582,view,381987,,2015-08-20 15:27:43.995,2015,8,20,3,15
